x_B,P_GPa,k,S_cc,S_cc0_M2
0.9,0,1.2700,6.989442e-02,2.463845e+07
0.9,0,1.2800,6.497077e-02,2.463845e+07
0.9,0,1.2900,8.716122e-02,2.463845e+07
0.9,0,1.3200,7.749571e-02,2.463845e+07
0.9,0,1.3300,6.890151e-02,2.463845e+07
0.9,0,1.3400,5.971214e-02,2.463845e+07
0.9,0,1.3500,4.661853e-02,2.463845e+07
0.9,0,1.3800,6.701559e-02,2.463845e+07
0.9,0,1.3900,5.565310e-02,2.463845e+07
0.9,0,1.4000,3.744045e-02,2.463845e+07
0.9,0,1.4100,6.962660e-02,2.463845e+07
0.9,0,1.4500,6.596056e-02,2.463845e+07
0.9,0,1.4600,4.880453e-02,2.463845e+07
0.9,0,1.4900,1.150544e-01,2.463845e+07
0.9,0,1.5100,9.217907e-02,2.463845e+07
0.9,0,1.5300,7.197976e-02,2.463845e+07
0.9,0,1.5400,8.898183e-02,2.463845e+07
0.9,0,1.5500,6.921307e-02,2.463845e+07
0.9,0,1.5900,8.161559e-02,2.463845e+07
0.9,0,1.6000,7.922891e-02,2.463845e+07
0.9,0,1.6100,7.834592e-02,2.463845e+07
0.9,0,1.6400,7.410973e-02,2.463845e+07
0.9,0,1.6500,7.377034e-02,2.463845e+07
0.9,0,1.6800,6.458880e-02,2.463845e+07
0.9,0,1.6900,7.573490e-02,2.463845e+07
0.9,0,1.7200,7.154985e-02,2.463845e+07
0.9,0,1.7400,8.929488e-02,2.463845e+07
0.9,0,1.7500,6.974726e-02,2.463845e+07
0.9,0,1.7600,7.835906e-02,2.463845e+07
0.9,0,1.7700,7.887472e-02,2.463845e+07
0.9,0,1.7800,9.099317e-02,2.463845e+07
0.9,0,1.8000,7.184729e-02,2.463845e+07
0.9,0,1.8100,7.488219e-02,2.463845e+07
0.9,0,1.8300,9.911933e-02,2.463845e+07
0.9,0,1.8500,8.523498e-02,2.463845e+07
0.9,0,1.8600,9.418601e-02,2.463845e+07
0.9,0,1.8900,8.862339e-02,2.463845e+07
0.9,0,1.9000,8.657556e-02,2.463845e+07
0.9,0,1.9200,9.504300e-02,2.463845e+07
0.9,0,1.9700,7.862116e-02,2.463845e+07
0.9,0,1.9900,1.030904e-01,2.463845e+07
0.9,0,2.0000,7.500648e-02,2.463845e+07
0.9,0,2.0100,8.788746e-02,2.463845e+07
0.9,0,2.0200,8.500348e-02,2.463845e+07
0.9,0,2.0300,1.076042e-01,2.463845e+07
0.9,0,2.0400,8.795081e-02,2.463845e+07
0.9,0,2.0500,9.650419e-02,2.463845e+07
0.9,0,2.0800,9.310082e-02,2.463845e+07
0.9,0,2.1000,9.704146e-02,2.463845e+07
