frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
6880,688000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.31001435126053,5.321868219558438,5.351260275146064,0.6368858565560264,-0.007763318295175736,-0.001427130004163502,0.07417963375056402
6881,688100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.44139164738107,5.264912846805438,5.445155098668451,0.7313237019071849,-0.008235004053993578,-0.001510346473651225,0.07863205259441486
6882,688200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.04902907998041,5.387726140262264,5.086085560342601,0.5752173793755452,-0.007886797098953124,-0.001447591140079751,0.07535290705376951
6883,688300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.62785020231971,5.61506536664056,5.485892789029783,0.5268920466493668,-0.007203246509169148,-0.001327527288472297,0.06891113393236381
6884,688400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.16470518049695,5.268921187948258,5.342000530690054,0.5537834618586394,-0.007854077157463557,-0.001443373348797294,0.07504813766757579
6885,688500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.68258713882879,5.539968776412959,5.502402484903267,0.6402158775125627,-0.008810697971479264,-0.001613862755391438,0.08405650511309304
6886,688600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.92398293298011,5.688554003259807,5.531681450288898,0.7037474794314019,-0.008300526982181644,-0.001523073073492753,0.07925620495409547
6887,688700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.78548508734723,5.748195709861595,5.438384929045019,0.5989044484406115,-0.007367919755946417,-0.001356900129865224,0.07046548010966802
6888,688800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.8052746265058,5.668385695055822,5.639047284819895,0.4978416466300882,-0.007627013105301117,-0.001402332090906455,0.07290460004620414
6889,688900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.65197753306609,5.6711793295066,5.447415792437152,0.5333824111223402,-0.008322229971919448,-0.001525718871903337,0.07945021977478817
6890,689000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.52681494568719,5.532526521396727,5.337461123192482,0.6568273010979767,-0.008056460889000583,-0.001479401920052581,0.07694760855461169
6891,689100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.00241047789845,5.989277641719474,5.321598135631625,0.6915347005473532,-0.007417988571324585,-0.001365074932799359,0.07093636810813564
6892,689200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.29435798493813,6.062657469480816,5.59330147307351,0.6383990423838083,-0.007632914131267654,-0.001403804523322449,0.07295682330650877
6893,689300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.01623463828825,5.918642058443495,5.370387897302332,0.7272046825424189,-0.008561757792212354,-0.001568693672973964,0.08171559302583731
6894,689400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.18324496709254,5.994123717728018,5.50431779103748,0.6848034583270382,-0.008704056533932025,-0.001595680949881384,0.08305336197140178
6895,689500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.77716119751798,5.650663653775464,5.412447303050581,0.7140502406919392,-0.007933965094134798,-0.00145784515398617,0.07580049009966672
