frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
1935,193500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5409223921322326,0.05190219639768066,0.3278302818106633,0.1611899139238887,-0.007910160715550951,-0.001412649936304078,0.07457943881523477
1936,193600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5717058181836756,0.09031701501156864,0.3558393529460959,0.1255494502260111,-0.008005885571976457,-0.001429705332462561,0.07548633197228227
1937,193700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5354582713923174,0.0548976128111639,0.3290275956427725,0.151533062938381,-0.008289945781709385,-0.001480192175316475,0.07816359341933321
1938,193800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6043202264796631,0.05074342424237504,0.3610192109411502,0.1925575912961378,-0.008232568907198257,-0.001470657550832755,0.07761868369235714
1939,193900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.673958838117104,0.1322653830352537,0.364487412617432,0.1772060424644183,-0.007706005703303376,-0.001376183525533037,0.07266451503006621
1940,194000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5908378598332112,0.1016032213979699,0.3356222582516977,0.1536123801835436,-0.007608787008039464,-0.001359638971578647,0.07174392372611038
1941,194100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.547580960097946,0.07317661985972103,0.3201964067858333,0.1542079334523918,-0.00776102859505734,-0.001387255478096705,0.07318708481549052
1942,194200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.477353073191558,0.1090361154039859,0.2522372723323367,0.1160796854552354,-0.008071166715307498,-0.001442283196270822,0.07610083529124623
1943,194300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6088629616064348,0.1296371594634573,0.2680284609058258,0.2111973412371518,-0.008329584206519414,-0.001487637098176009,0.07853444540524634
1944,194400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5010916337275408,0.08489066000522445,0.2630539916528498,0.1531469820694667,-0.007771742259047087,-0.001388420510656019,0.07328435477013073
1945,194500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5043820667919245,0.08724947428020202,0.2685515693751062,0.1485810231366163,-0.007067831684034687,-0.00126278911815092,0.06665596614607594
1946,194600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4308187996141934,0.07916878224061884,0.2214755462577882,0.1301744711157865,-0.007638601639929909,-0.001364617235138255,0.07203014386324114
1947,194700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4574445962483406,0.0366360663250344,0.2654557694359567,0.1553527604873495,-0.008666706651125011,-0.001548901622271615,0.08171546236111027
1948,194800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5242140376012527,0.03189674521074709,0.3167627658016981,0.1755545265888075,-0.008306493376742274,-0.001482962478014827,0.07832249180803075
1949,194900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5605345631245191,0.03721687347987606,0.3618893598682758,0.1614283297763672,-0.007491903002202704,-0.001337265296525558,0.07064625386760781
1950,195000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6095290274434516,0.04561802239947851,0.3753388350375998,0.1885721700063733,-0.008035614690143689,-0.001436413931333647,0.07576689015968796
1951,195100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6519371872133028,0.07166065535447382,0.2951928800887202,0.2850836517701089,-0.008844849578432346,-0.001579326324963048,0.08339316955731846
