route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.14000000e+00,9.70820184e-02,1.16132270e-02,-1.42042409e-02,2.43617187e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.15000000e+00,8.08518091e-02,9.78362572e-03,-1.15274169e-02,2.09157056e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.16000000e+00,8.62113923e-02,1.02487089e-02,-1.25782700e-02,2.29438982e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.17000000e+00,9.06395036e-02,1.08191882e-02,-1.32034113e-02,2.35846182e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.18000000e+00,8.35231700e-02,1.00321155e-02,-1.20127620e-02,2.19671623e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.19000000e+00,9.56545576e-02,1.13110884e-02,-1.40865129e-02,2.53766086e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.20000000e+00,9.48232168e-02,1.12830950e-02,-1.38197661e-02,2.51856249e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.21000000e+00,9.05264296e-02,1.07566884e-02,-1.32101355e-02,2.41536750e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.22000000e+00,9.41020578e-02,1.14009530e-02,-1.34276111e-02,2.40317832e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.23000000e+00,9.25244461e-02,1.09965067e-02,-1.34736257e-02,2.48728427e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.24000000e+00,9.51880655e-02,1.11946177e-02,-1.39884623e-02,2.64686071e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.25000000e+00,8.78897515e-02,1.06458493e-02,-1.24501031e-02,2.32129853e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.26000000e+00,9.14204410e-02,1.09855814e-02,-1.30296446e-02,2.49171979e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.27000000e+00,1.00759724e-01,1.19690999e-02,-1.46371830e-02,2.74708311e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.28000000e+00,9.06615746e-02,1.08772974e-02,-1.28579263e-02,2.54923666e-02,,335,last0.5,SUPERCELL.dump
