r_A g_B_B g_B_Fe g_Fe_Fe
4.030000000000000249e+00 9.518261250752899638e-01 8.787374241361729510e-01 1.339549701554990424e+00
4.050000000000000711e+00 9.547570220306075273e-01 8.700664509523016177e-01 1.321362605464242668e+00
4.070000000000000284e+00 9.585605770940028858e-01 8.680351294210829627e-01 1.305168337384578603e+00
4.089999999999999858e+00 9.640355183395545868e-01 8.575231968357492907e-01 1.300215044789341690e+00
4.109999999999999432e+00 9.682786250422983354e-01 8.424965060878560896e-01 1.274803944429322433e+00
4.129999999999999893e+00 9.675765576707413551e-01 8.458728596535908251e-01 1.267442651206527326e+00
4.150000000000000355e+00 9.743880640454886111e-01 8.423017775360229775e-01 1.241233203834091636e+00
4.169999999999999929e+00 9.754200563462902540e-01 8.458188272370616989e-01 1.233753460658910672e+00
4.189999999999999503e+00 9.788636666787573493e-01 8.375485431638250988e-01 1.204196961625550344e+00
4.209999999999999964e+00 9.856461277595605086e-01 8.429467261965002400e-01 1.188922229622868976e+00
4.230000000000000426e+00 9.961947754307202141e-01 8.433553186854183537e-01 1.158660010698530529e+00
4.250000000000000000e+00 9.977635530003940989e-01 8.451197767527455218e-01 1.129210555687497175e+00
4.269999999999999574e+00 1.000943401900234120e+00 8.470333742539202238e-01 1.113285471299109597e+00
4.290000000000000036e+00 1.014224788713938175e+00 8.569308989328067172e-01 1.094691513421553797e+00
4.310000000000000497e+00 1.013402280149883428e+00 8.559743977412392901e-01 1.081883167156187708e+00
4.330000000000000071e+00 1.021254700517704395e+00 8.646118120093113646e-01 1.060104402438998061e+00
4.349999999999999645e+00 1.030738907763215861e+00 8.660518191161469259e-01 1.028469262863142220e+00
4.370000000000000107e+00 1.035237750320020744e+00 8.792612675804176714e-01 1.012753790478452043e+00
4.390000000000000568e+00 1.039111700263174010e+00 8.857680579386221220e-01 1.000623035245275183e+00
4.410000000000000142e+00 1.048440959018821284e+00 9.071516552261843502e-01 9.977076368190807010e-01
4.429999999999999716e+00 1.047234587255745364e+00 9.047699179443041695e-01 9.619195909992011018e-01
4.450000000000000178e+00 1.058667127884345360e+00 9.150263614903721976e-01 9.509889465653047491e-01
4.470000000000000639e+00 1.062630014266578105e+00 9.222751873278350887e-01 9.263152130656931993e-01
4.490000000000000213e+00 1.063654955393923407e+00 9.366473201209063459e-01 9.219413558629979688e-01
